Timesheet_ID,Employee_ID,Timesheet_Date,Time_In,Time_Out
1,1,11/1/2021,"7:10 AM","3:31 PM"
2,2,11/1/2021,"7:15 AM","3:33 PM"
3,3,11/2/2021,"7:00 AM","3:33 PM"
4,4,11/2/2021,"7:02 AM","3:37 PM"
5,5,11/2/2021,"8:01 AM","4:01 PM"
6,6,11/2/2021,"8:01 AM","4:06 PM"
7,7,11/2/2021,"8:15 AM","4:02 PM"
8,8,11/2/2021,"8:19 AM","4:06 PM"
9,9,11/2/2021,"12:30 AM","9:10 PM"
10,10,11/3/2021,"7:05 AM","3:31 PM"
11,11,11/3/2021,"8:05 AM","4:11 PM"
12,12,11/3/2021,"12:35 AM","9:06 PM"
13,13,11/3/2021,"12:37 AM","9:38 PM"
14,14,11/3/2021,"12:39 AM","9:21 PM"
15,15,11/4/2021,"7:14 AM","3:39 PM"
16,16,11/4/2021,"8:10 AM","4:14 PM"
17,17,11/4/2021,"12:31 AM","9:15 PM"
18,18,11/4/2021,"12:31 AM","9:14 PM"
19,19,11/4/2021,"12:33 AM","9:22 PM"
20,20,11/4/2021,"12:38 AM","9:20 PM"
